date,blm,tweet_count
2016-02-16,Yes,0
2016-02-17,Yes,4
2016-02-18,Yes,1
2016-02-19,Yes,0
2016-02-20,Yes,0
2016-02-21,Yes,0
2016-02-22,Yes,1
2016-02-23,Yes,1
2016-02-24,Yes,1
2016-02-25,Yes,2
2016-02-26,Yes,1
2016-02-27,Yes,1
2016-02-28,Yes,0
2016-02-29,Yes,0
2016-03-01,Yes,0
2016-03-02,Yes,0
2016-03-03,Yes,1
2016-03-04,Yes,1
2016-03-05,Yes,3
2016-03-06,Yes,6
2016-03-07,Yes,4
2016-03-08,Yes,2
2016-03-09,Yes,3
2016-03-10,Yes,1
2016-03-11,Yes,0
2016-03-12,Yes,0
2016-03-13,Yes,2
2016-03-14,Yes,1
2016-03-15,Yes,1
2016-03-16,Yes,0
2016-03-17,Yes,2
2016-03-18,Yes,1
2016-03-19,Yes,0
2016-03-20,Yes,0
2016-03-21,Yes,0
2016-03-22,Yes,1
2016-03-23,Yes,0
2016-03-24,Yes,0
2016-03-25,Yes,0
2016-03-26,Yes,1
2016-03-27,Yes,1
2016-03-28,Yes,0
2016-03-29,Yes,0
2016-03-30,Yes,0
2016-03-31,Yes,0
2016-04-01,Yes,0
2016-04-02,Yes,0
2016-04-03,Yes,1
2016-04-04,Yes,0
2016-04-05,Yes,0
2016-04-06,Yes,5
2016-04-07,Yes,1
2016-04-08,Yes,1
2016-04-09,Yes,0
2016-04-10,Yes,0
2016-04-11,Yes,0
2016-04-12,Yes,3
2016-04-13,Yes,5
2016-04-14,Yes,0
2016-04-15,Yes,0
2016-04-16,Yes,0
2016-04-17,Yes,0
2016-04-18,Yes,1
2016-04-19,Yes,3
2016-04-20,Yes,1
2016-04-21,Yes,0
2016-04-22,Yes,0
2016-04-23,Yes,0
2016-04-24,Yes,0
2016-04-25,Yes,0
2016-04-26,Yes,12
2016-04-27,Yes,1
2016-04-28,Yes,0
2016-04-29,Yes,1
2016-04-30,Yes,0
2016-05-01,Yes,1
2016-05-02,Yes,3
2016-05-03,Yes,2
2016-05-04,Yes,0
2016-05-05,Yes,1
2016-05-06,Yes,5
